PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
carbohydrate biosynthetic process (GO:0016051)	19	0	.05	-	 < 0.01	1.00E00
vesicle organization (GO:0016050)	96	0	.25	-	 < 0.01	1.00E00
mitotic chromosome condensation (GO:0007076)	7	0	.02	-	 < 0.01	1.00E00
regulation of centrosome cycle (GO:0046605)	6	0	.02	-	 < 0.01	1.00E00
regulation of multicellular organismal process (GO:0051239)	177	0	.46	-	 < 0.01	1.00E00
establishment of RNA localization (GO:0051236)	37	0	.10	-	 < 0.01	1.00E00
maintenance of location (GO:0051235)	25	0	.07	-	 < 0.01	1.00E00
spindle elongation (GO:0051231)	7	0	.02	-	 < 0.01	1.00E00
ribosome biogenesis (GO:0042254)	121	0	.32	-	 < 0.01	1.00E00
cell growth (GO:0016049)	5	0	.01	-	 < 0.01	1.00E00
actin polymerization or depolymerization (GO:0008154)	29	0	.08	-	 < 0.01	1.00E00
cell cycle DNA replication (GO:0044786)	12	0	.03	-	 < 0.01	1.00E00
lipid catabolic process (GO:0016042)	67	0	.17	-	 < 0.01	1.00E00
metaphase/anaphase transition of cell cycle (GO:0044784)	2	0	.01	-	 < 0.01	1.00E00
cilium organization (GO:0044782)	124	0	.32	-	 < 0.01	1.00E00
mitotic sister chromatid cohesion (GO:0007064)	8	0	.02	-	 < 0.01	1.00E00
sister chromatid cohesion (GO:0007062)	16	0	.04	-	 < 0.01	1.00E00
septin cytoskeleton organization (GO:0032185)	3	0	.01	-	 < 0.01	1.00E00
peptidyl-tyrosine modification (GO:0018212)	9	0	.02	-	 < 0.01	1.00E00
spindle assembly (GO:0051225)	24	0	.06	-	 < 0.01	1.00E00
developmental growth involved in morphogenesis (GO:0060560)	5	0	.01	-	 < 0.01	1.00E00
regeneration (GO:0031099)	2	0	.01	-	 < 0.01	1.00E00
regulation of protein transport (GO:0051223)	13	0	.03	-	 < 0.01	1.00E00
cell activation (GO:0001775)	27	0	.07	-	 < 0.01	1.00E00
positive regulation of protein transport (GO:0051222)	4	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus (GO:0009593)	5	0	.01	-	 < 0.01	1.00E00
tissue regeneration (GO:0042246)	2	0	.01	-	 < 0.01	1.00E00
plasma membrane phospholipid scrambling (GO:0017121)	5	0	.01	-	 < 0.01	1.00E00
positive regulation of proteolysis (GO:0045862)	40	0	.10	-	 < 0.01	1.00E00
negative regulation of proteolysis (GO:0045861)	27	0	.07	-	 < 0.01	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	44	0	.11	-	 < 0.01	1.00E00
positive regulation of protein kinase activity (GO:0045860)	27	0	.07	-	 < 0.01	1.00E00
nuclear DNA replication (GO:0033260)	12	0	.03	-	 < 0.01	1.00E00
mitotic DNA integrity checkpoint signaling (GO:0044774)	13	0	.03	-	 < 0.01	1.00E00
cytoskeleton-dependent cytokinesis (GO:0061640)	29	0	.08	-	 < 0.01	1.00E00
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	.03	-	 < 0.01	1.00E00
mitotic cell cycle phase transition (GO:0044772)	33	0	.09	-	 < 0.01	1.00E00
cell cycle phase transition (GO:0044770)	33	0	.09	-	 < 0.01	1.00E00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	7	0	.02	-	 < 0.01	1.00E00
membrane assembly (GO:0071709)	12	0	.03	-	 < 0.01	1.00E00
mitotic spindle organization (GO:0007052)	26	0	.07	-	 < 0.01	1.00E00
spindle organization (GO:0007051)	40	0	.10	-	 < 0.01	1.00E00
cartilage development (GO:0051216)	10	0	.03	-	 < 0.01	1.00E00
carboxylic acid transport (GO:0046942)	98	0	.26	-	 < 0.01	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	7	0	.02	-	 < 0.01	1.00E00
regulation of protein kinase activity (GO:0045859)	79	0	.21	-	 < 0.01	1.00E00
neuron migration (GO:0001764)	10	0	.03	-	 < 0.01	1.00E00
morphogenesis of a branching structure (GO:0001763)	1	0	.00	-	 < 0.01	1.00E00
protein K11-linked ubiquitination (GO:0070979)	7	0	.02	-	 < 0.01	1.00E00
response to starvation (GO:0042594)	31	0	.08	-	 < 0.01	1.00E00
glucose homeostasis (GO:0042593)	9	0	.02	-	 < 0.01	1.00E00
homeostatic process (GO:0042592)	196	0	.51	-	 < 0.01	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	23	0	.06	-	 < 0.01	1.00E00
aerobic electron transport chain (GO:0019646)	4	0	.01	-	 < 0.01	1.00E00
cell-substrate junction assembly (GO:0007044)	1	0	.00	-	 < 0.01	1.00E00
cell-cell junction assembly (GO:0007043)	35	0	.09	-	 < 0.01	1.00E00
lysosomal transport (GO:0007041)	19	0	.05	-	 < 0.01	1.00E00
lysosome organization (GO:0007040)	14	0	.04	-	 < 0.01	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	19	0	.05	-	 < 0.01	1.00E00
protein insertion into membrane (GO:0051205)	4	0	.01	-	 < 0.01	1.00E00
neural crest cell migration (GO:0001755)	27	0	.07	-	 < 0.01	1.00E00
adherens junction organization (GO:0034332)	23	0	.06	-	 < 0.01	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	10	0	.03	-	 < 0.01	1.00E00
cell junction organization (GO:0034330)	104	0	.27	-	 < 0.01	1.00E00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	0	.02	-	 < 0.01	1.00E00
positive regulation of mitotic nuclear division (GO:0045840)	10	0	.03	-	 < 0.01	1.00E00
ERAD pathway (GO:0036503)	35	0	.09	-	 < 0.01	1.00E00
response to reactive oxygen species (GO:0000302)	7	0	.02	-	 < 0.01	1.00E00
mononuclear cell differentiation (GO:1903131)	11	0	.03	-	 < 0.01	1.00E00
meiosis I cell cycle process (GO:0061982)	27	0	.07	-	 < 0.01	1.00E00
vacuolar acidification (GO:0007035)	9	0	.02	-	 < 0.01	1.00E00
vacuolar transport (GO:0007034)	61	0	.16	-	 < 0.01	1.00E00
skeletal muscle organ development (GO:0060538)	16	0	.04	-	 < 0.01	1.00E00
regulation of neurotransmitter secretion (GO:0046928)	14	0	.04	-	 < 0.01	1.00E00
muscle tissue development (GO:0060537)	30	0	.08	-	 < 0.01	1.00E00
endosome organization (GO:0007032)	13	0	.03	-	 < 0.01	1.00E00
positive regulation of response to biotic stimulus (GO:0002833)	21	0	.05	-	 < 0.01	1.00E00
peroxisome organization (GO:0007031)	20	0	.05	-	 < 0.01	1.00E00
regulation of response to biotic stimulus (GO:0002831)	26	0	.07	-	 < 0.01	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	0	.01	-	 < 0.01	1.00E00
cell junction assembly (GO:0034329)	58	0	.15	-	 < 0.01	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	1	0	.00	-	 < 0.01	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	19	0	.05	-	 < 0.01	1.00E00
positive regulation of cell development (GO:0010720)	33	0	.09	-	 < 0.01	1.00E00
fertilization (GO:0009566)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of mitotic nuclear division (GO:0045839)	9	0	.02	-	 < 0.01	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	3	0	.01	-	 < 0.01	1.00E00
retinol metabolic process (GO:0042572)	2	0	.01	-	 < 0.01	1.00E00
translesion synthesis (GO:0019985)	10	0	.03	-	 < 0.01	1.00E00
endoplasmic reticulum organization (GO:0007029)	22	0	.06	-	 < 0.01	1.00E00
pattern specification process (GO:0007389)	57	0	.15	-	 < 0.01	1.00E00
protein transmembrane import into intracellular organelle (GO:0044743)	21	0	.05	-	 < 0.01	1.00E00
activation of protein kinase activity (GO:0032147)	5	0	.01	-	 < 0.01	1.00E00
microtubule nucleation (GO:0007020)	16	0	.04	-	 < 0.01	1.00E00
positive regulation of adaptive immune response (GO:0002821)	1	0	.00	-	 < 0.01	1.00E00
mismatch repair (GO:0006298)	10	0	.03	-	 < 0.01	1.00E00
Arp2/3 complex-mediated actin nucleation (GO:0034314)	12	0	.03	-	 < 0.01	1.00E00
pre-miRNA processing (GO:0031054)	6	0	.02	-	 < 0.01	1.00E00
primary miRNA processing (GO:0031053)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of innate immune response (GO:0045824)	3	0	.01	-	 < 0.01	1.00E00
defense response to symbiont (GO:0140546)	28	0	.07	-	 < 0.01	1.00E00
dendrite development (GO:0016358)	8	0	.02	-	 < 0.01	1.00E00
microtubule depolymerization (GO:0007019)	10	0	.03	-	 < 0.01	1.00E00
microtubule-based movement (GO:0007018)	100	0	.26	-	 < 0.01	1.00E00
microtubule-based process (GO:0007017)	246	0	.64	-	 < 0.01	1.00E00
actin filament organization (GO:0007015)	125	0	.33	-	 < 0.01	1.00E00
epigenetic regulation of gene expression (GO:0040029)	33	0	.09	-	 < 0.01	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	12	0	.03	-	 < 0.01	1.00E00
response to lipopolysaccharide (GO:0032496)	14	0	.04	-	 < 0.01	1.00E00
cytoskeleton organization (GO:0007010)	412	0	1.07	-	 < 0.01	6.27E-01
secretion (GO:0046903)	99	0	.26	-	 < 0.01	1.00E00
nucleotide-excision repair (GO:0006289)	18	0	.05	-	 < 0.01	1.00E00
membrane depolarization (GO:0051899)	21	0	.05	-	 < 0.01	1.00E00
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	14	0	.04	-	 < 0.01	1.00E00
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	0	.07	-	 < 0.01	1.00E00
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	16	0	.04	-	 < 0.01	1.00E00
base-excision repair (GO:0006284)	11	0	.03	-	 < 0.01	1.00E00
regulation of DNA repair (GO:0006282)	15	0	.04	-	 < 0.01	1.00E00
DNA repair (GO:0006281)	163	0	.42	-	 < 0.01	1.00E00
negative regulation of gene expression, epigenetic (GO:0045814)	26	0	.07	-	 < 0.01	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	59	0	.15	-	 < 0.01	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	32	0	.08	-	 < 0.01	1.00E00
protein K48-linked ubiquitination (GO:0070936)	9	0	.02	-	 < 0.01	1.00E00
ncRNA metabolic process (GO:0034660)	211	0	.55	-	 < 0.01	1.00E00
myelination (GO:0042552)	10	0	.03	-	 < 0.01	1.00E00
plasma membrane organization (GO:0007009)	24	0	.06	-	 < 0.01	1.00E00
gastrulation (GO:0007369)	13	0	.03	-	 < 0.01	1.00E00
inner mitochondrial membrane organization (GO:0007007)	11	0	.03	-	 < 0.01	1.00E00
mitochondrial membrane organization (GO:0007006)	14	0	.04	-	 < 0.01	1.00E00
determination of left/right symmetry (GO:0007368)	2	0	.01	-	 < 0.01	1.00E00
regulation of cilium assembly (GO:1902017)	5	0	.01	-	 < 0.01	1.00E00
telomere maintenance via telomerase (GO:0007004)	6	0	.02	-	 < 0.01	1.00E00
vesicle targeting, to, from or within Golgi (GO:0048199)	4	0	.01	-	 < 0.01	1.00E00
positive regulation of locomotion (GO:0040017)	51	0	.13	-	 < 0.01	1.00E00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	3	0	.01	-	 < 0.01	1.00E00
negative regulation of locomotion (GO:0040013)	10	0	.03	-	 < 0.01	1.00E00
positive regulation of type I interferon production (GO:0032481)	2	0	.01	-	 < 0.01	1.00E00
Golgi vesicle transport (GO:0048193)	119	0	.31	-	 < 0.01	1.00E00
modification-dependent macromolecule catabolic process (GO:0043632)	200	0	.52	-	 < 0.01	1.00E00
regulation of locomotion (GO:0040012)	94	0	.25	-	 < 0.01	1.00E00
locomotion (GO:0040011)	35	0	.09	-	 < 0.01	1.00E00
positive regulation of catabolic process (GO:0009896)	69	0	.18	-	 < 0.01	1.00E00
regulation of protein modification process (GO:0031399)	143	0	.37	-	 < 0.01	1.00E00
negative regulation of catabolic process (GO:0009895)	36	0	.09	-	 < 0.01	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	8	0	.02	-	 < 0.01	1.00E00
regulation of catabolic process (GO:0009894)	136	0	.35	-	 < 0.01	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	92	0	.24	-	 < 0.01	1.00E00
positive regulation of endocytosis (GO:0045807)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of protein ubiquitination (GO:0031397)	6	0	.02	-	 < 0.01	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	169	0	.44	-	 < 0.01	1.00E00
negative regulation of endocytosis (GO:0045806)	4	0	.01	-	 < 0.01	1.00E00
negative regulation of metabolic process (GO:0009892)	376	0	.98	-	 < 0.01	6.26E-01
actomyosin structure organization (GO:0031032)	50	0	.13	-	 < 0.01	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	12	0	.03	-	 < 0.01	1.00E00
negative regulation of biosynthetic process (GO:0009890)	275	0	.72	-	 < 0.01	1.00E00
DNA replication initiation (GO:0006270)	15	0	.04	-	 < 0.01	1.00E00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4	0	.01	-	 < 0.01	1.00E00
reciprocal homologous recombination (GO:0140527)	20	0	.05	-	 < 0.01	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	0	.38	-	 < 0.01	1.00E00
regulation of insulin secretion (GO:0050796)	5	0	.01	-	 < 0.01	1.00E00
regulation of developmental process (GO:0050793)	183	0	.48	-	 < 0.01	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	321	0	.84	-	 < 0.01	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	62	0	.16	-	 < 0.01	1.00E00
sexual reproduction (GO:0019953)	74	0	.19	-	 < 0.01	1.00E00
regulation of catalytic activity (GO:0050790)	262	0	.68	-	 < 0.01	1.00E00
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	23	0	.06	-	 < 0.01	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	118	0	.31	-	 < 0.01	1.00E00
negative regulation of RNA catabolic process (GO:1902369)	15	0	.04	-	 < 0.01	1.00E00
intraciliary transport involved in cilium assembly (GO:0035735)	3	0	.01	-	 < 0.01	1.00E00
regulation of growth (GO:0040008)	16	0	.04	-	 < 0.01	1.00E00
growth (GO:0040007)	7	0	.02	-	 < 0.01	1.00E00
organelle membrane fusion (GO:0090174)	43	0	.11	-	 < 0.01	1.00E00
cell fate specification (GO:0001708)	28	0	.07	-	 < 0.01	1.00E00
tissue development (GO:0009888)	138	0	.36	-	 < 0.01	1.00E00
mesoderm formation (GO:0001707)	7	0	.02	-	 < 0.01	1.00E00
DNA unwinding involved in DNA replication (GO:0006268)	7	0	.02	-	 < 0.01	1.00E00
animal organ morphogenesis (GO:0009887)	88	0	.23	-	 < 0.01	1.00E00
endoderm formation (GO:0001706)	7	0	.02	-	 < 0.01	1.00E00
establishment of mitotic spindle localization (GO:0040001)	13	0	.03	-	 < 0.01	1.00E00
formation of primary germ layer (GO:0001704)	13	0	.03	-	 < 0.01	1.00E00
microtubule organizing center organization (GO:0031023)	22	0	.06	-	 < 0.01	1.00E00
regulatory ncRNA processing (GO:0070918)	20	0	.05	-	 < 0.01	1.00E00
DNA-templated DNA replication (GO:0006261)	65	0	.17	-	 < 0.01	1.00E00
DNA replication (GO:0006260)	71	0	.19	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via STAT (GO:1904892)	6	0	.02	-	 < 0.01	1.00E00
unsaturated fatty acid metabolic process (GO:0033559)	9	0	.02	-	 < 0.01	1.00E00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	5	0	.01	-	 < 0.01	1.00E00
cellular response to stress (GO:0033554)	333	0	.87	-	 < 0.01	1.00E00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	.01	-	 < 0.01	1.00E00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	4	0	.01	-	 < 0.01	1.00E00
modification-dependent protein catabolic process (GO:0019941)	197	0	.51	-	 < 0.01	1.00E00
regulation of mitotic cell cycle (GO:0007346)	81	0	.21	-	 < 0.01	1.00E00
sodium ion transmembrane transport (GO:0035725)	46	0	.12	-	 < 0.01	1.00E00
positive regulation of response to external stimulus (GO:0032103)	29	0	.08	-	 < 0.01	1.00E00
regulation of cytokinesis (GO:0032465)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of response to external stimulus (GO:0032102)	15	0	.04	-	 < 0.01	1.00E00
regulation of response to external stimulus (GO:0032101)	48	0	.13	-	 < 0.01	1.00E00
intraciliary retrograde transport (GO:0035721)	6	0	.02	-	 < 0.01	1.00E00
carbohydrate derivative transport (GO:1901264)	23	0	.06	-	 < 0.01	1.00E00
amide transport (GO:0042886)	10	0	.03	-	 < 0.01	1.00E00
RNA destabilization (GO:0050779)	26	0	.07	-	 < 0.01	1.00E00
positive regulation of immune response (GO:0050778)	50	0	.13	-	 < 0.01	1.00E00
regulation of immune response (GO:0050776)	59	0	.15	-	 < 0.01	1.00E00
regulation of dendrite development (GO:0050773)	12	0	.03	-	 < 0.01	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	18	0	.05	-	 < 0.01	1.00E00
positive regulation of axonogenesis (GO:0050772)	7	0	.02	-	 < 0.01	1.00E00
mitochondrial RNA processing (GO:0000963)	7	0	.02	-	 < 0.01	1.00E00
regulation of TORC1 signaling (GO:1903432)	18	0	.05	-	 < 0.01	1.00E00
cGMP-mediated signaling (GO:0019934)	2	0	.01	-	 < 0.01	1.00E00
cAMP-mediated signaling (GO:0019933)	16	0	.04	-	 < 0.01	1.00E00
regulation of axonogenesis (GO:0050770)	14	0	.04	-	 < 0.01	1.00E00
binding of sperm to zona pellucida (GO:0007339)	1	0	.00	-	 < 0.01	1.00E00
dephosphorylation (GO:0016311)	91	0	.24	-	 < 0.01	1.00E00
bone mineralization (GO:0030282)	1	0	.00	-	 < 0.01	1.00E00
single fertilization (GO:0007338)	5	0	.01	-	 < 0.01	1.00E00
regulation of neuronal synaptic plasticity (GO:0048168)	8	0	.02	-	 < 0.01	1.00E00
regulation of synaptic plasticity (GO:0048167)	24	0	.06	-	 < 0.01	1.00E00
amide biosynthetic process (GO:0043604)	154	0	.40	-	 < 0.01	1.00E00
cellular response to unfolded protein (GO:0034620)	19	0	.05	-	 < 0.01	1.00E00
mitochondrial protein processing (GO:0034982)	4	0	.01	-	 < 0.01	1.00E00
positive regulation of neurogenesis (GO:0050769)	21	0	.05	-	 < 0.01	1.00E00
mitochondrial RNA metabolic process (GO:0000959)	13	0	.03	-	 < 0.01	1.00E00
regulation of neurogenesis (GO:0050767)	35	0	.09	-	 < 0.01	1.00E00
intermembrane lipid transfer (GO:0120009)	2	0	.01	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process (GO:0000956)	41	0	.11	-	 < 0.01	1.00E00
regulation of canonical Wnt signaling pathway (GO:0060828)	41	0	.11	-	 < 0.01	1.00E00
negative regulation of cAMP-mediated signaling (GO:0043951)	2	0	.01	-	 < 0.01	1.00E00
polyamine biosynthetic process (GO:0006596)	6	0	.02	-	 < 0.01	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	59	0	.15	-	 < 0.01	1.00E00
polyamine metabolic process (GO:0006595)	7	0	.02	-	 < 0.01	1.00E00
response to tumor necrosis factor (GO:0034612)	7	0	.02	-	 < 0.01	1.00E00
lipid storage (GO:0019915)	3	0	.01	-	 < 0.01	1.00E00
chromosome condensation (GO:0030261)	8	0	.02	-	 < 0.01	1.00E00
melanosome organization (GO:0032438)	5	0	.01	-	 < 0.01	1.00E00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	0	.01	-	 < 0.01	1.00E00
regulation of cAMP-mediated signaling (GO:0043949)	2	0	.01	-	 < 0.01	1.00E00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	0	.06	-	 < 0.01	1.00E00
positive regulation of defense response (GO:0031349)	19	0	.05	-	 < 0.01	1.00E00
negative regulation of defense response (GO:0031348)	11	0	.03	-	 < 0.01	1.00E00
regulation of defense response (GO:0031347)	33	0	.09	-	 < 0.01	1.00E00
cellular response to heat (GO:0034605)	5	0	.01	-	 < 0.01	1.00E00
catecholamine metabolic process (GO:0006584)	5	0	.01	-	 < 0.01	1.00E00
regulation of cell projection organization (GO:0031344)	63	0	.16	-	 < 0.01	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	12	0	.03	-	 < 0.01	1.00E00
regulation of cell killing (GO:0031341)	2	0	.01	-	 < 0.01	1.00E00
lipid modification (GO:0030258)	61	0	.16	-	 < 0.01	1.00E00
regulation of molecular function (GO:0065009)	339	0	.88	-	 < 0.01	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	152	0	.40	-	 < 0.01	1.00E00
protein-DNA complex assembly (GO:0065004)	32	0	.08	-	 < 0.01	1.00E00
positive regulation of DNA-templated transcription, elongation (GO:0032786)	10	0	.03	-	 < 0.01	1.00E00
protein-containing complex assembly (GO:0065003)	184	0	.48	-	 < 0.01	1.00E00
intracellular protein transmembrane transport (GO:0065002)	17	0	.04	-	 < 0.01	1.00E00
regulation of DNA-templated transcription elongation (GO:0032784)	13	0	.03	-	 < 0.01	1.00E00
protein-containing complex organization (GO:0043933)	314	0	.82	-	 < 0.01	1.00E00
biogenic amine metabolic process (GO:0006576)	17	0	.04	-	 < 0.01	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	47	0	.12	-	 < 0.01	1.00E00
negative regulation of protein-containing complex assembly (GO:0031333)	23	0	.06	-	 < 0.01	1.00E00
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	2	0	.01	-	 < 0.01	1.00E00
positive regulation of cellular catabolic process (GO:0031331)	46	0	.12	-	 < 0.01	1.00E00
tyrosine metabolic process (GO:0006570)	6	0	.02	-	 < 0.01	1.00E00
negative regulation of cellular catabolic process (GO:0031330)	29	0	.08	-	 < 0.01	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	10	0	.03	-	 < 0.01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	14	0	.04	-	 < 0.01	1.00E00
non-canonical NF-kappaB signal transduction (GO:0038061)	2	0	.01	-	 < 0.01	1.00E00
carbohydrate homeostasis (GO:0033500)	9	0	.02	-	 < 0.01	1.00E00
lysosome localization (GO:0032418)	5	0	.01	-	 < 0.01	1.00E00
synaptic vesicle transport (GO:0048489)	9	0	.02	-	 < 0.01	1.00E00
synaptic vesicle endocytosis (GO:0048488)	27	0	.07	-	 < 0.01	1.00E00
RNA biosynthetic process (GO:0032774)	82	0	.21	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	40	0	.10	-	 < 0.01	1.00E00
positive regulation of transporter activity (GO:0032411)	12	0	.03	-	 < 0.01	1.00E00
COPII-coated vesicle budding (GO:0090114)	11	0	.03	-	 < 0.01	1.00E00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	.01	-	 < 0.01	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	9	0	.02	-	 < 0.01	1.00E00
regulation of cellular catabolic process (GO:0031329)	98	0	.26	-	 < 0.01	1.00E00
negative regulation of cellular biosynthetic process (GO:0031327)	275	0	.72	-	 < 0.01	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	348	0	.91	-	 < 0.01	1.00E00
negative regulation of inflammatory response (GO:0050728)	8	0	.02	-	 < 0.01	1.00E00
regulation of inflammatory response (GO:0050727)	9	0	.02	-	 < 0.01	1.00E00
myofibril assembly (GO:0030239)	25	0	.07	-	 < 0.01	1.00E00
actomyosin contractile ring assembly (GO:0000915)	4	0	.01	-	 < 0.01	1.00E00
leukocyte chemotaxis (GO:0030595)	3	0	.01	-	 < 0.01	1.00E00
cytokinesis (GO:0000910)	30	0	.08	-	 < 0.01	1.00E00
neutrophil chemotaxis (GO:0030593)	3	0	.01	-	 < 0.01	1.00E00
regulation of transporter activity (GO:0032409)	42	0	.11	-	 < 0.01	1.00E00
oogenesis (GO:0048477)	7	0	.02	-	 < 0.01	1.00E00
secondary alcohol biosynthetic process (GO:1902653)	7	0	.02	-	 < 0.01	1.00E00
secondary alcohol metabolic process (GO:1902652)	17	0	.04	-	 < 0.01	1.00E00
execution phase of apoptosis (GO:0097194)	8	0	.02	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway (GO:0097193)	17	0	.04	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway (GO:0097191)	12	0	.03	-	 < 0.01	1.00E00
apoptotic signaling pathway (GO:0097190)	29	0	.08	-	 < 0.01	1.00E00
positive regulation of protein secretion (GO:0050714)	1	0	.00	-	 < 0.01	1.00E00
cell morphogenesis (GO:0000902)	177	0	.46	-	 < 0.01	1.00E00
vesicle-mediated transport in synapse (GO:0099003)	49	0	.13	-	 < 0.01	1.00E00
poly(A)+ mRNA export from nucleus (GO:0016973)	11	0	.03	-	 < 0.01	1.00E00
feeding behavior (GO:0007631)	4	0	.01	-	 < 0.01	1.00E00
cellular response to nutrient levels (GO:0031669)	25	0	.07	-	 < 0.01	1.00E00
cellular response to extracellular stimulus (GO:0031668)	25	0	.07	-	 < 0.01	1.00E00
response to nutrient levels (GO:0031667)	35	0	.09	-	 < 0.01	1.00E00
amelogenesis (GO:0097186)	2	0	.01	-	 < 0.01	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	.00	-	 < 0.01	1.00E00
regulation of protein secretion (GO:0050708)	7	0	.02	-	 < 0.01	1.00E00
erythrocyte differentiation (GO:0030218)	5	0	.01	-	 < 0.01	1.00E00
T cell differentiation (GO:0030217)	6	0	.02	-	 < 0.01	1.00E00
Rac protein signal transduction (GO:0016601)	3	0	.01	-	 < 0.01	1.00E00
circadian rhythm (GO:0007623)	22	0	.06	-	 < 0.01	1.00E00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	0	.04	-	 < 0.01	1.00E00
receptor-mediated endocytosis (GO:0006898)	28	0	.07	-	 < 0.01	1.00E00
glutamate metabolic process (GO:0006536)	2	0	.01	-	 < 0.01	1.00E00
Golgi to vacuole transport (GO:0006896)	5	0	.01	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.00	-	 < 0.01	1.00E00
Golgi to plasma membrane transport (GO:0006893)	23	0	.06	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.00	-	 < 0.01	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	34	0	.09	-	 < 0.01	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	20	0	.05	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.05	-	 < 0.01	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	21	0	.05	-	 < 0.01	1.00E00
cytoplasmic translational initiation (GO:0002183)	9	0	.02	-	 < 0.01	1.00E00
cytoplasmic translation (GO:0002181)	28	0	.07	-	 < 0.01	1.00E00
cellular response to lipid (GO:0071396)	23	0	.06	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.02	-	 < 0.01	1.00E00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	0	.15	-	 < 0.01	1.00E00
exocytosis (GO:0006887)	79	0	.21	-	 < 0.01	1.00E00
arginine metabolic process (GO:0006525)	11	0	.03	-	 < 0.01	1.00E00
