PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
sphingolipid metabolic process (GO:0006665)	53	0	1.86	-	 < 0.01	2.65E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.56	-	 < 0.01	1.00E00
postreplication repair (GO:0006301)	14	0	.49	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.07	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.56	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.04	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.35	-	 < 0.01	1.00E00
protein stabilization (GO:0050821)	12	0	.42	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.32	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.07	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of coagulation (GO:0050819)	5	0	.18	-	 < 0.01	1.00E00
regulation of coagulation (GO:0050818)	7	0	.25	-	 < 0.01	1.00E00
coagulation (GO:0050817)	9	0	.32	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	18	0	.63	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	28	0	.98	-	 < 0.01	6.25E-01
energy derivation by oxidation of organic compounds (GO:0015980)	39	0	1.37	-	 < 0.01	6.47E-01
triglyceride metabolic process (GO:0006641)	16	0	.56	-	 < 0.01	1.00E00
negative regulation of protein modification process (GO:0031400)	43	0	1.51	-	 < 0.01	4.05E-01
regulation of synapse organization (GO:0050807)	18	0	.63	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	12	0	.42	-	 < 0.01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	20	0	.70	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.04	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.04	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	19	0	.67	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	4	0	.14	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.11	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	22	0	.77	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	22	0	.77	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	17	0	.60	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	9	0	.32	-	 < 0.01	1.00E00
muscle system process (GO:0003012)	32	0	1.12	-	 < 0.01	6.28E-01
chaperone-mediated protein folding (GO:0061077)	12	0	.42	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	15	0	.53	-	 < 0.01	1.00E00
clathrin-dependent endocytosis (GO:0072583)	11	0	.39	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.07	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.07	-	 < 0.01	1.00E00
DNA demethylation (GO:0080111)	6	0	.21	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	11	0	.39	-	 < 0.01	1.00E00
macrophage activation involved in immune response (GO:0002281)	1	0	.04	-	 < 0.01	1.00E00
cellular response to external stimulus (GO:0071496)	26	0	.91	-	 < 0.01	1.00E00
positive regulation of cation channel activity (GO:2001259)	5	0	.18	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.28	-	 < 0.01	1.00E00
skeletal muscle contraction (GO:0003009)	8	0	.28	-	 < 0.01	1.00E00
negative regulation of chromosome organization (GO:2001251)	10	0	.35	-	 < 0.01	1.00E00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	31	0	1.09	-	 < 0.01	6.27E-01
heart morphogenesis (GO:0003007)	12	0	.42	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.04	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	19	0	.67	-	 < 0.01	1.00E00
protein targeting to vacuole (GO:0006623)	13	0	.46	-	 < 0.01	1.00E00
protein targeting to lysosome (GO:0006622)	2	0	.07	-	 < 0.01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	9	0	.32	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.25	-	 < 0.01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	15	0	.53	-	 < 0.01	1.00E00
myeloid leukocyte activation (GO:0002274)	2	0	.07	-	 < 0.01	1.00E00
visual system development (GO:0150063)	31	0	1.09	-	 < 0.01	6.27E-01
cellular response to light stimulus (GO:0071482)	8	0	.28	-	 < 0.01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	.14	-	 < 0.01	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	.25	-	 < 0.01	1.00E00
interstrand cross-link repair (GO:0036297)	11	0	.39	-	 < 0.01	1.00E00
protein export from nucleus (GO:0006611)	10	0	.35	-	 < 0.01	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	.07	-	 < 0.01	1.00E00
response to osmotic stress (GO:0006970)	4	0	.14	-	 < 0.01	1.00E00
cell activation involved in immune response (GO:0002263)	3	0	.11	-	 < 0.01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	.14	-	 < 0.01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	.39	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	.53	-	 < 0.01	1.00E00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	.28	-	 < 0.01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	16	0	.56	-	 < 0.01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	24	0	.84	-	 < 0.01	1.00E00
sensory system development (GO:0048880)	31	0	1.09	-	 < 0.01	6.27E-01
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.11	-	 < 0.01	1.00E00
negative regulation of cell motility (GO:2000146)	10	0	.35	-	 < 0.01	1.00E00
cilium movement (GO:0003341)	19	0	.67	-	 < 0.01	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	18	0	.63	-	 < 0.01	1.00E00
regulation of wound healing (GO:0061041)	6	0	.21	-	 < 0.01	1.00E00
miRNA processing (GO:0035196)	12	0	.42	-	 < 0.01	1.00E00
protein K48-linked deubiquitination (GO:0071108)	3	0	.11	-	 < 0.01	1.00E00
immune effector process (GO:0002252)	9	0	.32	-	 < 0.01	1.00E00
negative regulation of catalytic activity (GO:0043086)	60	0	2.10	-	 < 0.01	2.75E-01
adaptive immune response (GO:0002250)	8	0	.28	-	 < 0.01	1.00E00
spermatid differentiation (GO:0048515)	4	0	.14	-	 < 0.01	1.00E00
humoral immune response (GO:0006959)	7	0	.25	-	 < 0.01	1.00E00
rhythmic process (GO:0048511)	23	0	.81	-	 < 0.01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	23	0	.81	-	 < 0.01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	12	0	.42	-	 < 0.01	1.00E00
multicellular organismal-level homeostasis (GO:0048871)	12	0	.42	-	 < 0.01	1.00E00
complement activation (GO:0006956)	4	0	.14	-	 < 0.01	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	16	0	.56	-	 < 0.01	1.00E00
DNA replication checkpoint signaling (GO:0000076)	8	0	.28	-	 < 0.01	1.00E00
inflammatory response (GO:0006954)	20	0	.70	-	 < 0.01	1.00E00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	.21	-	 < 0.01	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	.04	-	 < 0.01	1.00E00
syncytium formation (GO:0006949)	3	0	.11	-	 < 0.01	1.00E00
striated muscle contraction (GO:0006941)	20	0	.70	-	 < 0.01	1.00E00
negative regulation of programmed cell death (GO:0043069)	51	0	1.79	-	 < 0.01	2.64E-01
positive regulation of programmed cell death (GO:0043068)	32	0	1.12	-	 < 0.01	6.28E-01
regulation of programmed cell death (GO:0043067)	97	0	3.40	-	 < 0.01	5.14E-02
negative regulation of apoptotic process (GO:0043066)	50	0	1.75	-	 < 0.01	4.23E-01
positive regulation of apoptotic process (GO:0043065)	31	0	1.09	-	 < 0.01	6.27E-01
cilium movement involved in cell motility (GO:0060294)	10	0	.35	-	 < 0.01	1.00E00
regulation of muscle contraction (GO:0006937)	9	0	.32	-	 < 0.01	1.00E00
muscle contraction (GO:0006936)	31	0	1.09	-	 < 0.01	6.27E-01
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	3	0	.11	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity (GO:2000116)	20	0	.70	-	 < 0.01	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	31	0	1.09	-	 < 0.01	6.27E-01
purine-containing compound catabolic process (GO:0072523)	24	0	.84	-	 < 0.01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	18	0	.63	-	 < 0.01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	4	0	.14	-	 < 0.01	1.00E00
cilium-dependent cell motility (GO:0060285)	14	0	.49	-	 < 0.01	1.00E00
long-chain fatty acid transport (GO:0015909)	4	0	.14	-	 < 0.01	1.00E00
negative regulation of peptidase activity (GO:0010466)	22	0	.77	-	 < 0.01	1.00E00
centrosome duplication (GO:0051298)	10	0	.35	-	 < 0.01	1.00E00
male sex differentiation (GO:0046661)	1	0	.04	-	 < 0.01	1.00E00
protein localization to Golgi apparatus (GO:0034067)	9	0	.32	-	 < 0.01	1.00E00
inner ear development (GO:0048839)	2	0	.07	-	 < 0.01	1.00E00
establishment of spindle orientation (GO:0051294)	10	0	.35	-	 < 0.01	1.00E00
establishment of spindle localization (GO:0051293)	17	0	.60	-	 < 0.01	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	0	.42	-	 < 0.01	1.00E00
apoptotic process (GO:0006915)	55	0	1.93	-	 < 0.01	2.66E-01
phagocytosis, engulfment (GO:0006911)	7	0	.25	-	 < 0.01	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	30	0	1.05	-	 < 0.01	6.26E-01
protein N-linked glycosylation via asparagine (GO:0018279)	10	0	.35	-	 < 0.01	1.00E00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	.07	-	 < 0.01	1.00E00
somatic diversification of immune receptors (GO:0002200)	2	0	.07	-	 < 0.01	1.00E00
lymphocyte proliferation (GO:0046651)	1	0	.04	-	 < 0.01	1.00E00
regulation of macrophage activation (GO:0043030)	1	0	.04	-	 < 0.01	1.00E00
cellular response to BMP stimulus (GO:0071773)	15	0	.53	-	 < 0.01	1.00E00
response to BMP (GO:0071772)	15	0	.53	-	 < 0.01	1.00E00
triglyceride homeostasis (GO:0070328)	5	0	.18	-	 < 0.01	1.00E00
phagocytosis (GO:0006909)	19	0	.67	-	 < 0.01	1.00E00
vesicle fusion (GO:0006906)	42	0	1.47	-	 < 0.01	4.04E-01
ribosomal large subunit assembly (GO:0000027)	8	0	.28	-	 < 0.01	1.00E00
spliceosomal snRNP assembly (GO:0000387)	14	0	.49	-	 < 0.01	1.00E00
vesicle targeting (GO:0006903)	8	0	.28	-	 < 0.01	1.00E00
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	22	0	.77	-	 < 0.01	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	6	0	.21	-	 < 0.01	1.00E00
cellular response to organic cyclic compound (GO:0071407)	23	0	.81	-	 < 0.01	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	.14	-	 < 0.01	1.00E00
nuclear membrane organization (GO:0071763)	4	0	.14	-	 < 0.01	1.00E00
central nervous system neuron differentiation (GO:0021953)	5	0	.18	-	 < 0.01	1.00E00
dendrite morphogenesis (GO:0048813)	2	0	.07	-	 < 0.01	1.00E00
granulocyte migration (GO:0097530)	3	0	.11	-	 < 0.01	1.00E00
anatomical structure homeostasis (GO:0060249)	4	0	.14	-	 < 0.01	1.00E00
camera-type eye development (GO:0043010)	24	0	.84	-	 < 0.01	1.00E00
telomere localization (GO:0034397)	1	0	.04	-	 < 0.01	1.00E00
myeloid leukocyte migration (GO:0097529)	3	0	.11	-	 < 0.01	1.00E00
regulation of leukocyte proliferation (GO:0070663)	5	0	.18	-	 < 0.01	1.00E00
synaptic vesicle exocytosis (GO:0016079)	21	0	.74	-	 < 0.01	1.00E00
leukocyte proliferation (GO:0070661)	1	0	.04	-	 < 0.01	1.00E00
motile cilium assembly (GO:0044458)	4	0	.14	-	 < 0.01	1.00E00
mitochondrial genome maintenance (GO:0000002)	6	0	.21	-	 < 0.01	1.00E00
centriole replication (GO:0007099)	9	0	.32	-	 < 0.01	1.00E00
centrosome cycle (GO:0007098)	18	0	.63	-	 < 0.01	1.00E00
nuclear migration (GO:0007097)	10	0	.35	-	 < 0.01	1.00E00
negative regulation of double-strand break repair (GO:2000780)	5	0	.18	-	 < 0.01	1.00E00
chordate embryonic development (GO:0043009)	23	0	.81	-	 < 0.01	1.00E00
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	0	.32	-	 < 0.01	1.00E00
regulation of mitotic spindle organization (GO:0060236)	2	0	.07	-	 < 0.01	1.00E00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	2	0	.07	-	 < 0.01	1.00E00
cellular response to starvation (GO:0009267)	24	0	.84	-	 < 0.01	1.00E00
Golgi to plasma membrane protein transport (GO:0043001)	7	0	.25	-	 < 0.01	1.00E00
response to temperature stimulus (GO:0009266)	12	0	.42	-	 < 0.01	1.00E00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	8	0	.28	-	 < 0.01	1.00E00
regulation of exocytosis (GO:0017157)	26	0	.91	-	 < 0.01	1.00E00
calcium-ion regulated exocytosis (GO:0017156)	16	0	.56	-	 < 0.01	1.00E00
ribonucleotide catabolic process (GO:0009261)	20	0	.70	-	 < 0.01	1.00E00
positive regulation of lymphocyte activation (GO:0051251)	5	0	.18	-	 < 0.01	1.00E00
purine nucleoside metabolic process (GO:0042278)	7	0	.25	-	 < 0.01	1.00E00
negative regulation of DNA-templated transcription (GO:0045892)	152	0	5.33	-	 < 0.01	6.91E-03
cardiac muscle cell action potential involved in contraction (GO:0086002)	5	0	.18	-	 < 0.01	1.00E00
cell-cell fusion (GO:0140253)	3	0	.11	-	 < 0.01	1.00E00
immunoglobulin mediated immune response (GO:0016064)	2	0	.07	-	 < 0.01	1.00E00
immune system development (GO:0002520)	5	0	.18	-	 < 0.01	1.00E00
forebrain development (GO:0030900)	11	0	.39	-	 < 0.01	1.00E00
mitotic metaphase chromosome alignment (GO:0007080)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of translation (GO:0017148)	14	0	.49	-	 < 0.01	1.00E00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	2	0	.07	-	 < 0.01	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	12	0	.42	-	 < 0.01	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	6	0	.21	-	 < 0.01	1.00E00
glucan biosynthetic process (GO:0009250)	2	0	.07	-	 < 0.01	1.00E00
hexose biosynthetic process (GO:0019319)	8	0	.28	-	 < 0.01	1.00E00
mannosylation (GO:0097502)	8	0	.28	-	 < 0.01	1.00E00
regulation of lymphocyte migration (GO:2000401)	3	0	.11	-	 < 0.01	1.00E00
mitotic chromosome condensation (GO:0007076)	7	0	.25	-	 < 0.01	1.00E00
regulation of centrosome cycle (GO:0046605)	6	0	.21	-	 < 0.01	1.00E00
maintenance of location (GO:0051235)	25	0	.88	-	 < 0.01	1.00E00
spindle elongation (GO:0051231)	7	0	.25	-	 < 0.01	1.00E00
cell growth (GO:0016049)	5	0	.18	-	 < 0.01	1.00E00
metaphase/anaphase transition of cell cycle (GO:0044784)	2	0	.07	-	 < 0.01	1.00E00
mitotic sister chromatid cohesion (GO:0007064)	8	0	.28	-	 < 0.01	1.00E00
peptidyl-tyrosine modification (GO:0018212)	9	0	.32	-	 < 0.01	1.00E00
developmental growth involved in morphogenesis (GO:0060560)	5	0	.18	-	 < 0.01	1.00E00
regeneration (GO:0031099)	2	0	.07	-	 < 0.01	1.00E00
regulation of protein transport (GO:0051223)	13	0	.46	-	 < 0.01	1.00E00
positive regulation of protein transport (GO:0051222)	4	0	.14	-	 < 0.01	1.00E00
detection of chemical stimulus (GO:0009593)	5	0	.18	-	 < 0.01	1.00E00
tissue regeneration (GO:0042246)	2	0	.07	-	 < 0.01	1.00E00
plasma membrane phospholipid scrambling (GO:0017121)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of proteolysis (GO:0045861)	27	0	.95	-	 < 0.01	1.00E00
positive regulation of protein kinase activity (GO:0045860)	27	0	.95	-	 < 0.01	1.00E00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	7	0	.25	-	 < 0.01	1.00E00
membrane assembly (GO:0071709)	12	0	.42	-	 < 0.01	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	7	0	.25	-	 < 0.01	1.00E00
morphogenesis of a branching structure (GO:0001763)	1	0	.04	-	 < 0.01	1.00E00
protein K11-linked ubiquitination (GO:0070979)	7	0	.25	-	 < 0.01	1.00E00
response to starvation (GO:0042594)	31	0	1.09	-	 < 0.01	6.27E-01
aerobic electron transport chain (GO:0019646)	4	0	.14	-	 < 0.01	1.00E00
cell-substrate junction assembly (GO:0007044)	1	0	.04	-	 < 0.01	1.00E00
cell-cell junction assembly (GO:0007043)	35	0	1.23	-	 < 0.01	6.35E-01
lysosomal transport (GO:0007041)	19	0	.67	-	 < 0.01	1.00E00
lysosome organization (GO:0007040)	14	0	.49	-	 < 0.01	1.00E00
protein insertion into membrane (GO:0051205)	4	0	.14	-	 < 0.01	1.00E00
adherens junction organization (GO:0034332)	23	0	.81	-	 < 0.01	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	10	0	.35	-	 < 0.01	1.00E00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	0	.32	-	 < 0.01	1.00E00
response to reactive oxygen species (GO:0000302)	7	0	.25	-	 < 0.01	1.00E00
mononuclear cell differentiation (GO:1903131)	11	0	.39	-	 < 0.01	1.00E00
protein localization to synapse (GO:0035418)	13	0	.46	-	 < 0.01	1.00E00
regulation of neurotransmitter secretion (GO:0046928)	14	0	.49	-	 < 0.01	1.00E00
peroxisome organization (GO:0007031)	20	0	.70	-	 < 0.01	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	0	.18	-	 < 0.01	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	1	0	.04	-	 < 0.01	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	19	0	.67	-	 < 0.01	1.00E00
fertilization (GO:0009566)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of mitotic nuclear division (GO:0045839)	9	0	.32	-	 < 0.01	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	3	0	.11	-	 < 0.01	1.00E00
retinol metabolic process (GO:0042572)	2	0	.07	-	 < 0.01	1.00E00
translesion synthesis (GO:0019985)	10	0	.35	-	 < 0.01	1.00E00
activation of protein kinase activity (GO:0032147)	5	0	.18	-	 < 0.01	1.00E00
microtubule nucleation (GO:0007020)	16	0	.56	-	 < 0.01	1.00E00
positive regulation of adaptive immune response (GO:0002821)	1	0	.04	-	 < 0.01	1.00E00
mismatch repair (GO:0006298)	10	0	.35	-	 < 0.01	1.00E00
pre-miRNA processing (GO:0031054)	6	0	.21	-	 < 0.01	1.00E00
primary miRNA processing (GO:0031053)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of innate immune response (GO:0045824)	3	0	.11	-	 < 0.01	1.00E00
dendrite development (GO:0016358)	8	0	.28	-	 < 0.01	1.00E00
microtubule depolymerization (GO:0007019)	10	0	.35	-	 < 0.01	1.00E00
epigenetic regulation of gene expression (GO:0040029)	33	0	1.16	-	 < 0.01	6.30E-01
dicarboxylic acid metabolic process (GO:0043648)	12	0	.42	-	 < 0.01	1.00E00
nucleotide-excision repair (GO:0006289)	18	0	.63	-	 < 0.01	1.00E00
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	14	0	.49	-	 < 0.01	1.00E00
base-excision repair (GO:0006284)	11	0	.39	-	 < 0.01	1.00E00
negative regulation of gene expression, epigenetic (GO:0045814)	26	0	.91	-	 < 0.01	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	32	0	1.12	-	 < 0.01	6.28E-01
protein K48-linked ubiquitination (GO:0070936)	9	0	.32	-	 < 0.01	1.00E00
myelination (GO:0042552)	10	0	.35	-	 < 0.01	1.00E00
plasma membrane organization (GO:0007009)	24	0	.84	-	 < 0.01	1.00E00
inner mitochondrial membrane organization (GO:0007007)	11	0	.39	-	 < 0.01	1.00E00
mitochondrial membrane organization (GO:0007006)	14	0	.49	-	 < 0.01	1.00E00
determination of left/right symmetry (GO:0007368)	2	0	.07	-	 < 0.01	1.00E00
regulation of cilium assembly (GO:1902017)	5	0	.18	-	 < 0.01	1.00E00
telomere maintenance via telomerase (GO:0007004)	6	0	.21	-	 < 0.01	1.00E00
vesicle targeting, to, from or within Golgi (GO:0048199)	4	0	.14	-	 < 0.01	1.00E00
negative regulation of locomotion (GO:0040013)	10	0	.35	-	 < 0.01	1.00E00
positive regulation of type I interferon production (GO:0032481)	2	0	.07	-	 < 0.01	1.00E00
positive regulation of endocytosis (GO:0045807)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of protein ubiquitination (GO:0031397)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of endocytosis (GO:0045806)	4	0	.14	-	 < 0.01	1.00E00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4	0	.14	-	 < 0.01	1.00E00
reciprocal homologous recombination (GO:0140527)	20	0	.70	-	 < 0.01	1.00E00
regulation of insulin secretion (GO:0050796)	5	0	.18	-	 < 0.01	1.00E00
intraciliary transport involved in cilium assembly (GO:0035735)	3	0	.11	-	 < 0.01	1.00E00
growth (GO:0040007)	7	0	.25	-	 < 0.01	1.00E00
organelle membrane fusion (GO:0090174)	43	0	1.51	-	 < 0.01	4.05E-01
mesoderm formation (GO:0001707)	7	0	.25	-	 < 0.01	1.00E00
establishment of mitotic spindle localization (GO:0040001)	13	0	.46	-	 < 0.01	1.00E00
microtubule organizing center organization (GO:0031023)	22	0	.77	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via STAT (GO:1904892)	6	0	.21	-	 < 0.01	1.00E00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	5	0	.18	-	 < 0.01	1.00E00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	.07	-	 < 0.01	1.00E00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	4	0	.14	-	 < 0.01	1.00E00
regulation of cytokinesis (GO:0032465)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of response to external stimulus (GO:0032102)	15	0	.53	-	 < 0.01	1.00E00
regulation of dendrite development (GO:0050773)	12	0	.42	-	 < 0.01	1.00E00
mitochondrial RNA processing (GO:0000963)	7	0	.25	-	 < 0.01	1.00E00
regulation of TORC1 signaling (GO:1903432)	18	0	.63	-	 < 0.01	1.00E00
cGMP-mediated signaling (GO:0019934)	2	0	.07	-	 < 0.01	1.00E00
binding of sperm to zona pellucida (GO:0007339)	1	0	.04	-	 < 0.01	1.00E00
bone mineralization (GO:0030282)	1	0	.04	-	 < 0.01	1.00E00
single fertilization (GO:0007338)	5	0	.18	-	 < 0.01	1.00E00
endocytic recycling (GO:0032456)	29	0	1.02	-	 < 0.01	6.25E-01
regulation of neuronal synaptic plasticity (GO:0048168)	8	0	.28	-	 < 0.01	1.00E00
regulation of synaptic plasticity (GO:0048167)	24	0	.84	-	 < 0.01	1.00E00
cellular response to unfolded protein (GO:0034620)	19	0	.67	-	 < 0.01	1.00E00
mitochondrial protein processing (GO:0034982)	4	0	.14	-	 < 0.01	1.00E00
mitochondrial RNA metabolic process (GO:0000959)	13	0	.46	-	 < 0.01	1.00E00
intermembrane lipid transfer (GO:0120009)	2	0	.07	-	 < 0.01	1.00E00
response to tumor necrosis factor (GO:0034612)	7	0	.25	-	 < 0.01	1.00E00
lipid storage (GO:0019915)	3	0	.11	-	 < 0.01	1.00E00
chromosome condensation (GO:0030261)	8	0	.28	-	 < 0.01	1.00E00
melanosome organization (GO:0032438)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	0	.14	-	 < 0.01	1.00E00
negative regulation of defense response (GO:0031348)	11	0	.39	-	 < 0.01	1.00E00
cellular response to heat (GO:0034605)	5	0	.18	-	 < 0.01	1.00E00
catecholamine metabolic process (GO:0006584)	5	0	.18	-	 < 0.01	1.00E00
regulation of cell killing (GO:0031341)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	152	0	5.33	-	 < 0.01	6.91E-03
protein-DNA complex assembly (GO:0065004)	32	0	1.12	-	 < 0.01	6.28E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	10	0	.35	-	 < 0.01	1.00E00
intracellular protein transmembrane transport (GO:0065002)	17	0	.60	-	 < 0.01	1.00E00
regulation of DNA-templated transcription elongation (GO:0032784)	13	0	.46	-	 < 0.01	1.00E00
negative regulation of protein-containing complex assembly (GO:0031333)	23	0	.81	-	 < 0.01	1.00E00
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	2	0	.07	-	 < 0.01	1.00E00
tyrosine metabolic process (GO:0006570)	6	0	.21	-	 < 0.01	1.00E00
non-canonical NF-kappaB signal transduction (GO:0038061)	2	0	.07	-	 < 0.01	1.00E00
lysosome localization (GO:0032418)	5	0	.18	-	 < 0.01	1.00E00
synaptic vesicle transport (GO:0048489)	9	0	.32	-	 < 0.01	1.00E00
synaptic vesicle endocytosis (GO:0048488)	27	0	.95	-	 < 0.01	1.00E00
positive regulation of transporter activity (GO:0032411)	12	0	.42	-	 < 0.01	1.00E00
negative regulation of inflammatory response (GO:0050728)	8	0	.28	-	 < 0.01	1.00E00
regulation of inflammatory response (GO:0050727)	9	0	.32	-	 < 0.01	1.00E00
leukocyte chemotaxis (GO:0030595)	3	0	.11	-	 < 0.01	1.00E00
neutrophil chemotaxis (GO:0030593)	3	0	.11	-	 < 0.01	1.00E00
secondary alcohol biosynthetic process (GO:1902653)	7	0	.25	-	 < 0.01	1.00E00
secondary alcohol metabolic process (GO:1902652)	17	0	.60	-	 < 0.01	1.00E00
execution phase of apoptosis (GO:0097194)	8	0	.28	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway (GO:0097193)	17	0	.60	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway (GO:0097191)	12	0	.42	-	 < 0.01	1.00E00
apoptotic signaling pathway (GO:0097190)	29	0	1.02	-	 < 0.01	6.25E-01
positive regulation of protein secretion (GO:0050714)	1	0	.04	-	 < 0.01	1.00E00
vesicle-mediated transport in synapse (GO:0099003)	49	0	1.72	-	 < 0.01	4.19E-01
feeding behavior (GO:0007631)	4	0	.14	-	 < 0.01	1.00E00
cellular response to nutrient levels (GO:0031669)	25	0	.88	-	 < 0.01	1.00E00
