PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
immune system development (GO:0002520)	5	0	.04	-	 < 0.01	1.00E00
ribonucleotide metabolic process (GO:0009259)	69	0	.58	-	 < 0.01	1.00E00
regulation of lymphocyte activation (GO:0051249)	10	0	.08	-	 < 0.01	1.00E00
forebrain development (GO:0030900)	10	0	.08	-	 < 0.01	1.00E00
mitotic metaphase chromosome alignment (GO:0007080)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of translation (GO:0017148)	13	0	.11	-	 < 0.01	1.00E00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of multicellular organismal process (GO:0051241)	33	0	.28	-	 < 0.01	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	12	0	.10	-	 < 0.01	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	5	0	.04	-	 < 0.01	1.00E00
glucan biosynthetic process (GO:0009250)	1	0	.01	-	 < 0.01	1.00E00
hexose biosynthetic process (GO:0019319)	7	0	.06	-	 < 0.01	1.00E00
hexose metabolic process (GO:0019318)	20	0	.17	-	 < 0.01	1.00E00
organic acid catabolic process (GO:0016054)	66	0	.55	-	 < 0.01	1.00E00
mannosylation (GO:0097502)	8	0	.07	-	 < 0.01	1.00E00
organic acid biosynthetic process (GO:0016053)	53	0	.44	-	 < 0.01	1.00E00
regulation of lymphocyte migration (GO:2000401)	3	0	.03	-	 < 0.01	1.00E00
carbohydrate catabolic process (GO:0016052)	26	0	.22	-	 < 0.01	1.00E00
carbohydrate biosynthetic process (GO:0016051)	17	0	.14	-	 < 0.01	1.00E00
vesicle organization (GO:0016050)	86	0	.72	-	 < 0.01	1.00E00
mitotic chromosome condensation (GO:0007076)	6	0	.05	-	 < 0.01	1.00E00
regulation of centrosome cycle (GO:0046605)	5	0	.04	-	 < 0.01	1.00E00
glycolipid biosynthetic process (GO:0009247)	26	0	.22	-	 < 0.01	1.00E00
establishment of RNA localization (GO:0051236)	36	0	.30	-	 < 0.01	1.00E00
spindle elongation (GO:0051231)	6	0	.05	-	 < 0.01	1.00E00
ribosome biogenesis (GO:0042254)	117	0	.98	-	 < 0.01	1.00E00
cell growth (GO:0016049)	5	0	.04	-	 < 0.01	1.00E00
actin polymerization or depolymerization (GO:0008154)	29	0	.24	-	 < 0.01	1.00E00
cell cycle DNA replication (GO:0044786)	11	0	.09	-	 < 0.01	1.00E00
lipid catabolic process (GO:0016042)	63	0	.53	-	 < 0.01	1.00E00
metaphase/anaphase transition of cell cycle (GO:0044784)	2	0	.02	-	 < 0.01	1.00E00
mitotic sister chromatid cohesion (GO:0007064)	6	0	.05	-	 < 0.01	1.00E00
sister chromatid cohesion (GO:0007062)	14	0	.12	-	 < 0.01	1.00E00
septin cytoskeleton organization (GO:0032185)	2	0	.02	-	 < 0.01	1.00E00
peptidyl-tyrosine modification (GO:0018212)	7	0	.06	-	 < 0.01	1.00E00
spindle assembly (GO:0051225)	21	0	.18	-	 < 0.01	1.00E00
developmental growth involved in morphogenesis (GO:0060560)	5	0	.04	-	 < 0.01	1.00E00
regeneration (GO:0031099)	2	0	.02	-	 < 0.01	1.00E00
regulation of protein transport (GO:0051223)	10	0	.08	-	 < 0.01	1.00E00
cell activation (GO:0001775)	25	0	.21	-	 < 0.01	1.00E00
positive regulation of protein transport (GO:0051222)	2	0	.02	-	 < 0.01	1.00E00
detection of chemical stimulus (GO:0009593)	5	0	.04	-	 < 0.01	1.00E00
tissue regeneration (GO:0042246)	2	0	.02	-	 < 0.01	1.00E00
plasma membrane phospholipid scrambling (GO:0017121)	5	0	.04	-	 < 0.01	1.00E00
positive regulation of proteolysis (GO:0045862)	34	0	.28	-	 < 0.01	1.00E00
negative regulation of proteolysis (GO:0045861)	27	0	.23	-	 < 0.01	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	40	0	.33	-	 < 0.01	1.00E00
positive regulation of protein kinase activity (GO:0045860)	24	0	.20	-	 < 0.01	1.00E00
chromosome segregation (GO:0007059)	76	0	.63	-	 < 0.01	1.00E00
nuclear DNA replication (GO:0033260)	11	0	.09	-	 < 0.01	1.00E00
mitotic DNA integrity checkpoint signaling (GO:0044774)	13	0	.11	-	 < 0.01	1.00E00
peptidyl-serine modification (GO:0018209)	72	0	.60	-	 < 0.01	1.00E00
cytoskeleton-dependent cytokinesis (GO:0061640)	27	0	.23	-	 < 0.01	1.00E00
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	.11	-	 < 0.01	1.00E00
mitotic cell cycle phase transition (GO:0044772)	34	0	.28	-	 < 0.01	1.00E00
cell cycle phase transition (GO:0044770)	34	0	.28	-	 < 0.01	1.00E00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	5	0	.04	-	 < 0.01	1.00E00
membrane assembly (GO:0071709)	11	0	.09	-	 < 0.01	1.00E00
mitotic spindle organization (GO:0007052)	25	0	.21	-	 < 0.01	1.00E00
spindle organization (GO:0007051)	37	0	.31	-	 < 0.01	1.00E00
nitrogen compound transport (GO:0071705)	311	0	2.60	-	 < 0.01	1.16E-01
cartilage development (GO:0051216)	9	0	.08	-	 < 0.01	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	6	0	.05	-	 < 0.01	1.00E00
neuron migration (GO:0001764)	9	0	.08	-	 < 0.01	1.00E00
morphogenesis of a branching structure (GO:0001763)	1	0	.01	-	 < 0.01	1.00E00
response to starvation (GO:0042594)	27	0	.23	-	 < 0.01	1.00E00
glucose homeostasis (GO:0042593)	7	0	.06	-	 < 0.01	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	23	0	.19	-	 < 0.01	1.00E00
aerobic electron transport chain (GO:0019646)	4	0	.03	-	 < 0.01	1.00E00
cell cycle (GO:0007049)	236	0	1.97	-	 < 0.01	2.70E-01
cell-substrate junction assembly (GO:0007044)	1	0	.01	-	 < 0.01	1.00E00
cell-cell junction assembly (GO:0007043)	34	0	.28	-	 < 0.01	1.00E00
lysosomal transport (GO:0007041)	17	0	.14	-	 < 0.01	1.00E00
lysosome organization (GO:0007040)	14	0	.12	-	 < 0.01	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	19	0	.16	-	 < 0.01	1.00E00
protein insertion into membrane (GO:0051205)	4	0	.03	-	 < 0.01	1.00E00
neural crest cell migration (GO:0001755)	22	0	.18	-	 < 0.01	1.00E00
anterograde trans-synaptic signaling (GO:0098916)	119	0	.99	-	 < 0.01	6.29E-01
adherens junction organization (GO:0034332)	22	0	.18	-	 < 0.01	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	8	0	.07	-	 < 0.01	1.00E00
cell junction organization (GO:0034330)	99	0	.83	-	 < 0.01	1.00E00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	0	.08	-	 < 0.01	1.00E00
positive regulation of mitotic nuclear division (GO:0045840)	6	0	.05	-	 < 0.01	1.00E00
organophosphate metabolic process (GO:0019637)	248	0	2.07	-	 < 0.01	2.75E-01
ERAD pathway (GO:0036503)	33	0	.28	-	 < 0.01	1.00E00
response to reactive oxygen species (GO:0000302)	7	0	.06	-	 < 0.01	1.00E00
mononuclear cell differentiation (GO:1903131)	10	0	.08	-	 < 0.01	1.00E00
meiosis I cell cycle process (GO:0061982)	26	0	.22	-	 < 0.01	1.00E00
protein localization to synapse (GO:0035418)	12	0	.10	-	 < 0.01	1.00E00
vacuolar acidification (GO:0007035)	9	0	.08	-	 < 0.01	1.00E00
vacuolar transport (GO:0007034)	54	0	.45	-	 < 0.01	1.00E00
skeletal muscle organ development (GO:0060538)	15	0	.13	-	 < 0.01	1.00E00
vacuole organization (GO:0007033)	57	0	.48	-	 < 0.01	1.00E00
regulation of neurotransmitter secretion (GO:0046928)	14	0	.12	-	 < 0.01	1.00E00
muscle tissue development (GO:0060537)	29	0	.24	-	 < 0.01	1.00E00
endosome organization (GO:0007032)	12	0	.10	-	 < 0.01	1.00E00
positive regulation of response to biotic stimulus (GO:0002833)	20	0	.17	-	 < 0.01	1.00E00
peroxisome organization (GO:0007031)	20	0	.17	-	 < 0.01	1.00E00
Golgi organization (GO:0007030)	34	0	.28	-	 < 0.01	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	4	0	.03	-	 < 0.01	1.00E00
cell junction assembly (GO:0034329)	54	0	.45	-	 < 0.01	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	1	0	.01	-	 < 0.01	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	17	0	.14	-	 < 0.01	1.00E00
fertilization (GO:0009566)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of mitotic nuclear division (GO:0045839)	9	0	.08	-	 < 0.01	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	3	0	.03	-	 < 0.01	1.00E00
retinol metabolic process (GO:0042572)	1	0	.01	-	 < 0.01	1.00E00
translesion synthesis (GO:0019985)	10	0	.08	-	 < 0.01	1.00E00
endoplasmic reticulum organization (GO:0007029)	22	0	.18	-	 < 0.01	1.00E00
pattern specification process (GO:0007389)	44	0	.37	-	 < 0.01	1.00E00
protein transmembrane import into intracellular organelle (GO:0044743)	21	0	.18	-	 < 0.01	1.00E00
activation of protein kinase activity (GO:0032147)	5	0	.04	-	 < 0.01	1.00E00
microtubule nucleation (GO:0007020)	15	0	.13	-	 < 0.01	1.00E00
positive regulation of adaptive immune response (GO:0002821)	1	0	.01	-	 < 0.01	1.00E00
mismatch repair (GO:0006298)	10	0	.08	-	 < 0.01	1.00E00
Arp2/3 complex-mediated actin nucleation (GO:0034314)	12	0	.10	-	 < 0.01	1.00E00
pre-miRNA processing (GO:0031054)	6	0	.05	-	 < 0.01	1.00E00
primary miRNA processing (GO:0031053)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of innate immune response (GO:0045824)	3	0	.03	-	 < 0.01	1.00E00
protein localization (GO:0008104)	393	0	3.28	-	 < 0.01	8.07E-02
defense response to symbiont (GO:0140546)	27	0	.23	-	 < 0.01	1.00E00
dendrite development (GO:0016358)	7	0	.06	-	 < 0.01	1.00E00
microtubule depolymerization (GO:0007019)	9	0	.08	-	 < 0.01	1.00E00
actin filament organization (GO:0007015)	114	0	.95	-	 < 0.01	1.00E00
epigenetic regulation of gene expression (GO:0040029)	28	0	.23	-	 < 0.01	1.00E00
response to lipopolysaccharide (GO:0032496)	12	0	.10	-	 < 0.01	1.00E00
secretion (GO:0046903)	85	0	.71	-	 < 0.01	1.00E00
nucleotide-excision repair (GO:0006289)	17	0	.14	-	 < 0.01	1.00E00
membrane depolarization (GO:0051899)	18	0	.15	-	 < 0.01	1.00E00
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	11	0	.09	-	 < 0.01	1.00E00
regulatory ncRNA-mediated gene silencing (GO:0031047)	23	0	.19	-	 < 0.01	1.00E00
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	13	0	.11	-	 < 0.01	1.00E00
base-excision repair (GO:0006284)	10	0	.08	-	 < 0.01	1.00E00
regulation of DNA repair (GO:0006282)	15	0	.13	-	 < 0.01	1.00E00
negative regulation of gene expression, epigenetic (GO:0045814)	21	0	.18	-	 < 0.01	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	55	0	.46	-	 < 0.01	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	30	0	.25	-	 < 0.01	1.00E00
protein K48-linked ubiquitination (GO:0070936)	8	0	.07	-	 < 0.01	1.00E00
myelination (GO:0042552)	10	0	.08	-	 < 0.01	1.00E00
plasma membrane organization (GO:0007009)	20	0	.17	-	 < 0.01	1.00E00
gastrulation (GO:0007369)	13	0	.11	-	 < 0.01	1.00E00
inner mitochondrial membrane organization (GO:0007007)	10	0	.08	-	 < 0.01	1.00E00
mitochondrial membrane organization (GO:0007006)	13	0	.11	-	 < 0.01	1.00E00
determination of left/right symmetry (GO:0007368)	2	0	.02	-	 < 0.01	1.00E00
mitochondrion organization (GO:0007005)	99	0	.83	-	 < 0.01	1.00E00
telomere maintenance via telomerase (GO:0007004)	4	0	.03	-	 < 0.01	1.00E00
vesicle targeting, to, from or within Golgi (GO:0048199)	4	0	.03	-	 < 0.01	1.00E00
positive regulation of locomotion (GO:0040017)	45	0	.38	-	 < 0.01	1.00E00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	3	0	.03	-	 < 0.01	1.00E00
negative regulation of locomotion (GO:0040013)	10	0	.08	-	 < 0.01	1.00E00
positive regulation of type I interferon production (GO:0032481)	2	0	.02	-	 < 0.01	1.00E00
regulation of locomotion (GO:0040012)	87	0	.73	-	 < 0.01	1.00E00
locomotion (GO:0040011)	31	0	.26	-	 < 0.01	1.00E00
positive regulation of catabolic process (GO:0009896)	61	0	.51	-	 < 0.01	1.00E00
negative regulation of catabolic process (GO:0009895)	33	0	.28	-	 < 0.01	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	8	0	.07	-	 < 0.01	1.00E00
regulation of catabolic process (GO:0009894)	121	0	1.01	-	 < 0.01	6.29E-01
nucleobase-containing compound catabolic process (GO:0034655)	87	0	.73	-	 < 0.01	1.00E00
positive regulation of endocytosis (GO:0045807)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of protein ubiquitination (GO:0031397)	5	0	.04	-	 < 0.01	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	155	0	1.29	-	 < 0.01	6.42E-01
negative regulation of endocytosis (GO:0045806)	3	0	.03	-	 < 0.01	1.00E00
actomyosin structure organization (GO:0031032)	44	0	.37	-	 < 0.01	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	8	0	.07	-	 < 0.01	1.00E00
DNA replication initiation (GO:0006270)	15	0	.13	-	 < 0.01	1.00E00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4	0	.03	-	 < 0.01	1.00E00
reciprocal homologous recombination (GO:0140527)	20	0	.17	-	 < 0.01	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	135	0	1.13	-	 < 0.01	6.32E-01
regulation of insulin secretion (GO:0050796)	3	0	.03	-	 < 0.01	1.00E00
sexual reproduction (GO:0019953)	69	0	.58	-	 < 0.01	1.00E00
negative regulation of RNA catabolic process (GO:1902369)	12	0	.10	-	 < 0.01	1.00E00
intraciliary transport involved in cilium assembly (GO:0035735)	3	0	.03	-	 < 0.01	1.00E00
regulation of growth (GO:0040008)	14	0	.12	-	 < 0.01	1.00E00
growth (GO:0040007)	7	0	.06	-	 < 0.01	1.00E00
organelle membrane fusion (GO:0090174)	40	0	.33	-	 < 0.01	1.00E00
cell fate specification (GO:0001708)	26	0	.22	-	 < 0.01	1.00E00
tissue development (GO:0009888)	127	0	1.06	-	 < 0.01	6.29E-01
DNA unwinding involved in DNA replication (GO:0006268)	4	0	.03	-	 < 0.01	1.00E00
mesoderm formation (GO:0001707)	7	0	.06	-	 < 0.01	1.00E00
animal organ morphogenesis (GO:0009887)	78	0	.65	-	 < 0.01	1.00E00
endoderm formation (GO:0001706)	7	0	.06	-	 < 0.01	1.00E00
establishment of mitotic spindle localization (GO:0040001)	13	0	.11	-	 < 0.01	1.00E00
formation of primary germ layer (GO:0001704)	13	0	.11	-	 < 0.01	1.00E00
microtubule organizing center organization (GO:0031023)	21	0	.18	-	 < 0.01	1.00E00
regulatory ncRNA processing (GO:0070918)	15	0	.13	-	 < 0.01	1.00E00
DNA-templated DNA replication (GO:0006261)	54	0	.45	-	 < 0.01	1.00E00
DNA replication (GO:0006260)	60	0	.50	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via STAT (GO:1904892)	6	0	.05	-	 < 0.01	1.00E00
unsaturated fatty acid metabolic process (GO:0033559)	7	0	.06	-	 < 0.01	1.00E00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	3	0	.03	-	 < 0.01	1.00E00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	.02	-	 < 0.01	1.00E00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	4	0	.03	-	 < 0.01	1.00E00
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	14	0	.12	-	 < 0.01	1.00E00
regulation of mitotic cell cycle (GO:0007346)	74	0	.62	-	 < 0.01	1.00E00
sodium ion transmembrane transport (GO:0035725)	44	0	.37	-	 < 0.01	1.00E00
positive regulation of response to external stimulus (GO:0032103)	28	0	.23	-	 < 0.01	1.00E00
regulation of cytokinesis (GO:0032465)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of response to external stimulus (GO:0032102)	15	0	.13	-	 < 0.01	1.00E00
intraciliary retrograde transport (GO:0035721)	6	0	.05	-	 < 0.01	1.00E00
carbohydrate derivative transport (GO:1901264)	21	0	.18	-	 < 0.01	1.00E00
amide transport (GO:0042886)	9	0	.08	-	 < 0.01	1.00E00
RNA destabilization (GO:0050779)	24	0	.20	-	 < 0.01	1.00E00
positive regulation of immune response (GO:0050778)	48	0	.40	-	 < 0.01	1.00E00
regulation of dendrite development (GO:0050773)	11	0	.09	-	 < 0.01	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	17	0	.14	-	 < 0.01	1.00E00
positive regulation of axonogenesis (GO:0050772)	6	0	.05	-	 < 0.01	1.00E00
regulation of TORC1 signaling (GO:1903432)	17	0	.14	-	 < 0.01	1.00E00
cGMP-mediated signaling (GO:0019934)	2	0	.02	-	 < 0.01	1.00E00
cAMP-mediated signaling (GO:0019933)	15	0	.13	-	 < 0.01	1.00E00
regulation of axonogenesis (GO:0050770)	13	0	.11	-	 < 0.01	1.00E00
binding of sperm to zona pellucida (GO:0007339)	1	0	.01	-	 < 0.01	1.00E00
bone mineralization (GO:0030282)	1	0	.01	-	 < 0.01	1.00E00
single fertilization (GO:0007338)	5	0	.04	-	 < 0.01	1.00E00
phosphorylation (GO:0016310)	198	0	1.65	-	 < 0.01	4.16E-01
endocytic recycling (GO:0032456)	24	0	.20	-	 < 0.01	1.00E00
regulation of neuronal synaptic plasticity (GO:0048168)	8	0	.07	-	 < 0.01	1.00E00
regulation of synaptic plasticity (GO:0048167)	24	0	.20	-	 < 0.01	1.00E00
establishment of protein localization to membrane (GO:0090150)	48	0	.40	-	 < 0.01	1.00E00
cellular response to unfolded protein (GO:0034620)	19	0	.16	-	 < 0.01	1.00E00
mitochondrial protein processing (GO:0034982)	4	0	.03	-	 < 0.01	1.00E00
process utilizing autophagic mechanism (GO:0061919)	60	0	.50	-	 < 0.01	1.00E00
intermembrane lipid transfer (GO:0120009)	1	0	.01	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process (GO:0000956)	38	0	.32	-	 < 0.01	1.00E00
regulation of canonical Wnt signaling pathway (GO:0060828)	41	0	.34	-	 < 0.01	1.00E00
negative regulation of cAMP-mediated signaling (GO:0043951)	2	0	.02	-	 < 0.01	1.00E00
polyamine biosynthetic process (GO:0006596)	6	0	.05	-	 < 0.01	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	55	0	.46	-	 < 0.01	1.00E00
polyamine metabolic process (GO:0006595)	7	0	.06	-	 < 0.01	1.00E00
response to tumor necrosis factor (GO:0034612)	7	0	.06	-	 < 0.01	1.00E00
chromosome condensation (GO:0030261)	6	0	.05	-	 < 0.01	1.00E00
melanosome organization (GO:0032438)	4	0	.03	-	 < 0.01	1.00E00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	13	0	.11	-	 < 0.01	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	0	.03	-	 < 0.01	1.00E00
regulation of cAMP-mediated signaling (GO:0043949)	2	0	.02	-	 < 0.01	1.00E00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	20	0	.17	-	 < 0.01	1.00E00
positive regulation of defense response (GO:0031349)	18	0	.15	-	 < 0.01	1.00E00
negative regulation of defense response (GO:0031348)	11	0	.09	-	 < 0.01	1.00E00
cellular response to heat (GO:0034605)	5	0	.04	-	 < 0.01	1.00E00
catecholamine metabolic process (GO:0006584)	5	0	.04	-	 < 0.01	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	12	0	.10	-	 < 0.01	1.00E00
regulation of cell killing (GO:0031341)	2	0	.02	-	 < 0.01	1.00E00
lipid modification (GO:0030258)	56	0	.47	-	 < 0.01	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	136	0	1.14	-	 < 0.01	6.32E-01
monocarboxylic acid metabolic process (GO:0032787)	101	0	.84	-	 < 0.01	1.00E00
protein-DNA complex assembly (GO:0065004)	29	0	.24	-	 < 0.01	1.00E00
positive regulation of DNA-templated transcription, elongation (GO:0032786)	7	0	.06	-	 < 0.01	1.00E00
protein-containing complex assembly (GO:0065003)	165	0	1.38	-	 < 0.01	6.50E-01
intracellular protein transmembrane transport (GO:0065002)	17	0	.14	-	 < 0.01	1.00E00
regulation of DNA-templated transcription elongation (GO:0032784)	10	0	.08	-	 < 0.01	1.00E00
biogenic amine metabolic process (GO:0006576)	17	0	.14	-	 < 0.01	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	42	0	.35	-	 < 0.01	1.00E00
negative regulation of protein-containing complex assembly (GO:0031333)	22	0	.18	-	 < 0.01	1.00E00
positive regulation of cellular catabolic process (GO:0031331)	43	0	.36	-	 < 0.01	1.00E00
tyrosine metabolic process (GO:0006570)	6	0	.05	-	 < 0.01	1.00E00
negative regulation of cellular catabolic process (GO:0031330)	26	0	.22	-	 < 0.01	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	8	0	.07	-	 < 0.01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	12	0	.10	-	 < 0.01	1.00E00
non-canonical NF-kappaB signal transduction (GO:0038061)	2	0	.02	-	 < 0.01	1.00E00
carbohydrate homeostasis (GO:0033500)	7	0	.06	-	 < 0.01	1.00E00
lysosome localization (GO:0032418)	3	0	.03	-	 < 0.01	1.00E00
synaptic vesicle transport (GO:0048489)	9	0	.08	-	 < 0.01	1.00E00
synaptic vesicle endocytosis (GO:0048488)	24	0	.20	-	 < 0.01	1.00E00
RNA biosynthetic process (GO:0032774)	74	0	.62	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	38	0	.32	-	 < 0.01	1.00E00
positive regulation of transporter activity (GO:0032411)	11	0	.09	-	 < 0.01	1.00E00
COPII-coated vesicle budding (GO:0090114)	11	0	.09	-	 < 0.01	1.00E00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	.04	-	 < 0.01	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	9	0	.08	-	 < 0.01	1.00E00
regulation of cellular catabolic process (GO:0031329)	88	0	.73	-	 < 0.01	1.00E00
negative regulation of inflammatory response (GO:0050728)	8	0	.07	-	 < 0.01	1.00E00
regulation of inflammatory response (GO:0050727)	9	0	.08	-	 < 0.01	1.00E00
myofibril assembly (GO:0030239)	23	0	.19	-	 < 0.01	1.00E00
actomyosin contractile ring assembly (GO:0000915)	2	0	.02	-	 < 0.01	1.00E00
leukocyte chemotaxis (GO:0030595)	3	0	.03	-	 < 0.01	1.00E00
cytokinesis (GO:0000910)	28	0	.23	-	 < 0.01	1.00E00
neutrophil chemotaxis (GO:0030593)	3	0	.03	-	 < 0.01	1.00E00
regulation of transporter activity (GO:0032409)	40	0	.33	-	 < 0.01	1.00E00
oogenesis (GO:0048477)	5	0	.04	-	 < 0.01	1.00E00
secondary alcohol biosynthetic process (GO:1902653)	6	0	.05	-	 < 0.01	1.00E00
secondary alcohol metabolic process (GO:1902652)	14	0	.12	-	 < 0.01	1.00E00
execution phase of apoptosis (GO:0097194)	7	0	.06	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway (GO:0097193)	16	0	.13	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway (GO:0097191)	10	0	.08	-	 < 0.01	1.00E00
apoptotic signaling pathway (GO:0097190)	27	0	.23	-	 < 0.01	1.00E00
cell morphogenesis (GO:0000902)	165	0	1.38	-	 < 0.01	6.50E-01
vesicle-mediated transport in synapse (GO:0099003)	43	0	.36	-	 < 0.01	1.00E00
poly(A)+ mRNA export from nucleus (GO:0016973)	10	0	.08	-	 < 0.01	1.00E00
feeding behavior (GO:0007631)	4	0	.03	-	 < 0.01	1.00E00
cellular response to nutrient levels (GO:0031669)	21	0	.18	-	 < 0.01	1.00E00
cellular response to extracellular stimulus (GO:0031668)	21	0	.18	-	 < 0.01	1.00E00
response to nutrient levels (GO:0031667)	31	0	.26	-	 < 0.01	1.00E00
amelogenesis (GO:0097186)	2	0	.02	-	 < 0.01	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	.01	-	 < 0.01	1.00E00
regulation of protein secretion (GO:0050708)	5	0	.04	-	 < 0.01	1.00E00
erythrocyte differentiation (GO:0030218)	5	0	.04	-	 < 0.01	1.00E00
T cell differentiation (GO:0030217)	6	0	.05	-	 < 0.01	1.00E00
Rac protein signal transduction (GO:0016601)	2	0	.02	-	 < 0.01	1.00E00
circadian rhythm (GO:0007623)	19	0	.16	-	 < 0.01	1.00E00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	14	0	.12	-	 < 0.01	1.00E00
receptor-mediated endocytosis (GO:0006898)	26	0	.22	-	 < 0.01	1.00E00
glutamate metabolic process (GO:0006536)	2	0	.02	-	 < 0.01	1.00E00
endocytosis (GO:0006897)	108	0	.90	-	 < 0.01	1.00E00
Golgi to vacuole transport (GO:0006896)	5	0	.04	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.01	-	 < 0.01	1.00E00
Golgi to plasma membrane transport (GO:0006893)	21	0	.18	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.01	-	 < 0.01	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	32	0	.27	-	 < 0.01	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	17	0	.14	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	16	0	.13	-	 < 0.01	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	20	0	.17	-	 < 0.01	1.00E00
cytoplasmic translational initiation (GO:0002183)	9	0	.08	-	 < 0.01	1.00E00
cytoplasmic translation (GO:0002181)	28	0	.23	-	 < 0.01	1.00E00
cellular response to lipid (GO:0071396)	22	0	.18	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.06	-	 < 0.01	1.00E00
establishment of protein localization (GO:0045184)	235	0	1.96	-	 < 0.01	2.70E-01
exocytosis (GO:0006887)	67	0	.56	-	 < 0.01	1.00E00
arginine metabolic process (GO:0006525)	11	0	.09	-	 < 0.01	1.00E00
intracellular protein transport (GO:0006886)	146	0	1.22	-	 < 0.01	6.37E-01
regulation of protein stability (GO:0031647)	14	0	.12	-	 < 0.01	1.00E00
regulation of pH (GO:0006885)	22	0	.18	-	 < 0.01	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	13	0	.11	-	 < 0.01	1.00E00
regulation of hemopoiesis (GO:1903706)	6	0	.05	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	3	0	.03	-	 < 0.01	1.00E00
sensory perception of sound (GO:0007605)	9	0	.08	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.05	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.17	-	 < 0.01	1.00E00
